feature_set,n_features,auc,best_significance,best_threshold
ALL,24,0.997707093646091,232.71620314900846,0.2856881618499756
Xb_M,1,0.983960867775073,231.02380829689392,0.9974325299263
Xb_IP_OWNPV,1,0.8775618131509564,161.73541346363297,0.263217031955719
Xb_IPCHI2_OWNPV,1,0.8760146669434667,162.69373010292588,0.23725822567939758
Xc_M,1,0.856943111945382,157.8516750033807,0.2761746644973755
Xb_DIRA_OWNPV,1,0.7745052312355035,131.7745211383195,0.19273105263710022
Xc_PT,1,0.691009739085577,122.85519773886567,0.1443198323249817
Xc_FDCHI2_OWNPV,1,0.6569947642492588,122.58299186735195,0.12673695385456085
pi_IPCHI2_OWNPV,1,0.6511632535400119,120.90224649728547,0.1260433942079544
p_P,1,0.6447335614657195,119.74765634921569,0.13009761273860931
p_IPCHI2_OWNPV,1,0.6368197942015115,119.0775419566918,0.1400696337223053
p_IPCHI2_OWNPV,1,0.6368197942015115,119.0775419566918,0.1400696337223053
Xb_PT,1,0.633251572557522,116.72940584872892,0.13694697618484497
k_IPCHI2_OWNPV,1,0.6172588063815871,118.48213640542376,0.1389746367931366
Xb_P,1,0.6133618413147518,117.24886195437968,0.14885872602462769
Xb_FDCHI2_OWNPV,1,0.6132244474684443,118.8260176705814,0.12021411210298538
Xb_ENDVERTEX_CHI2,1,0.6120686310188246,118.40024726550755,0.1086510419845581
Xc_IPCHI2_OWNPV,1,0.60287747851024,118.94738537232098,0.1303340047597885
Xc_P,1,0.6012879555368416,116.78010058856115,0.1391247808933258
Xc_IP_OWNPV,1,0.5932811450969426,120.81363895157092,0.13987483084201813
k_P,1,0.5903393824517422,116.95684985075205,0.1474003940820694
k_IP_OWNPV,1,0.5876128361939682,119.68234486967283,0.1278228759765625
pi_PT,1,0.5852646029591215,116.7085379501449,0.1317213773727417
pi_IP_OWNPV,1,0.5831769919671703,119.33527265301309,0.11546611785888672
pi_P,1,0.559318278220523,116.9327140598002,0.14199745655059814
